gender,age,follow
female,44,male_f
male,47,male_t
male,48,male_f
male,24,female_f
female,48,female_t
female,18,female_f
female,25,female_f
female,19,male_f
female,30,female_f
female,45,male_f
male,33,male_t
female,44,female_f
male,21,male_f
female,21,female_t
female,17,female_f
female,37,female_t
female,43,male_f
female,20,female_f
female,43,female_t
female,49,female_t
male,22,female_f
female,39,female_t
female,24,female_f
female,41,female_t
female,31,male_t
female,27,male_f
female,35,male_f
male,30,male_f
male,26,female_f
male,17,female_f
female,27,male_f
female,37,male_t
male,26,female_f
male,33,female_t
male,49,male_t
female,30,female_f
female,36,female_t
female,36,male_f
female,36,female_f
male,26,male_t
female,39,female_t
male,28,male_f
female,31,male_t
female,44,female_f
male,44,male_t
female,34,female_t
female,39,female_t
male,41,male_f
female,20,female_f
female,43,female_f
male,44,male_f
female,41,female_t
male,33,male_f
male,48,male_t
female,23,female_f
male,38,male_t
male,48,male_f
male,49,male_t
female,28,male_f
female,18,male_t
male,46,female_f
female,32,male_f
female,44,female_f
male,40,male_t
female,47,female_t
male,45,male_t
female,43,male_t
male,28,female_t
male,19,female_t
male,26,male_t
female,36,female_t
female,21,female_t
female,23,female_t
female,44,female_t
female,49,male_t
male,32,female_f
male,40,male_f
female,42,female_t
male,18,male_t
female,27,male_t
male,42,female_t
female,27,female_t
male,27,female_t
male,30,male_f
female,21,male_t
male,49,male_f
male,47,female_f
female,35,female_t
male,38,male_t
female,45,male_t
male,19,female_f
female,31,female_t
female,25,male_t
female,23,male_f
female,26,female_f
male,37,male_f
female,47,male_f
male,17,female_f
female,25,male_t
female,44,female_t
female,21,male_f
male,29,female_t
female,43,female_f
female,47,female_f
male,25,male_t
male,22,male_f
female,30,male_f
female,45,female_f
female,24,female_t
male,24,male_f
female,46,female_t
male,48,female_f
male,49,female_f
male,22,male_t
male,48,female_t
male,47,male_t
female,48,female_t
female,28,male_f
male,22,male_f
female,43,male_t
female,46,male_f
male,36,male_f
female,22,female_f
female,46,male_f
male,31,female_f
male,36,male_f
male,25,female_f
female,44,male_f
male,40,female_t
female,29,female_t
female,19,male_t
female,49,female_f
male,27,male_f
male,45,female_f
female,16,male_t
female,33,female_f
female,34,male_f
male,49,female_t
female,26,female_t
female,16,female_t
male,46,male_f
female,20,male_t
female,47,male_t
female,44,male_f
male,31,male_f
male,42,female_t
male,35,male_f
male,47,female_f
female,23,female_f
female,17,male_t
male,20,male_f
male,33,male_t
female,33,male_t
male,26,female_t
female,39,female_f
female,32,female_f
female,22,male_f
female,41,female_t
male,32,male_f
male,28,male_f
female,29,female_f
female,33,female_t
male,32,female_f
male,35,female_f
female,39,female_t
male,48,male_t
male,21,female_t
male,42,male_t
male,34,female_f
male,43,female_t
female,31,male_t
male,40,male_t
female,33,male_f
male,22,female_t
male,39,male_f
male,21,female_t
male,35,male_t
male,34,male_f
female,32,female_t
male,47,male_f
female,47,male_f
male,49,female_t
male,36,female_f
male,21,female_f
male,31,female_t
female,19,male_t
female,26,male_t
male,43,male_f
male,21,female_f
female,24,female_f
male,39,male_t
female,48,male_f
male,45,male_t
male,47,male_f
male,49,female_f
female,48,female_t
female,31,male_t
female,34,female_f
female,45,male_f
male,34,female_t
female,35,female_t
female,29,male_t
female,25,male_f
male,35,male_t
male,20,male_t
male,31,male_f
male,42,female_f
female,40,male_f
female,45,female_t
female,16,female_t
female,20,female_t
female,22,female_f
male,45,male_t
male,48,male_t
female,28,female_f
female,35,female_f
male,43,female_f
male,36,male_t
female,43,male_t
female,21,female_t
female,32,male_f
female,28,female_f
male,26,female_t
male,21,female_f
female,41,female_f
female,23,male_f
female,24,male_t
female,35,male_f
female,44,male_f
female,41,female_f
male,32,male_f
male,34,female_t
female,44,male_f
male,34,female_f
male,41,female_t
female,18,female_f
female,30,female_f
male,46,female_f
female,35,female_t
female,46,male_t
male,32,male_f
female,25,male_f
female,16,female_t
male,46,male_t
male,16,male_f
female,41,male_f
male,22,male_f
female,32,male_f
male,47,female_f
female,45,male_f
male,43,male_t
male,38,female_f
female,38,male_t
male,40,female_f
female,44,male_f
male,40,female_t
male,18,female_f
male,25,male_t
female,42,female_t
male,37,female_f
male,49,female_f
female,39,male_t
male,22,male_t
male,39,male_f
female,40,male_t
male,47,female_t
female,49,female_f
male,26,male_f
female,18,male_f
male,36,male_t
female,25,male_t
female,27,male_f
female,34,female_f
male,44,female_t
male,26,male_t
female,34,female_f
female,20,female_t
male,44,male_f
male,17,male_f
